2021-04-17/15:46:46		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:50		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:50		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:51		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:51		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:52		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:52		 wafer_13012020_090817.csv: File loaded successfully!!
2021-04-17/15:46:52		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:59		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:59		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:46:59		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:01		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:01		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:01		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:02		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:02		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:02		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:02		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:03		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:04		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:05		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:06		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:06		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:06		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:07		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:07		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:08		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:08		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:08		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:09		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:09		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:09		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:10		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:10		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:10		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:11		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:11		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:11		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:11		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:12		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:12		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:12		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:12		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:13		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:13		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:13		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:13		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-04-17/15:47:20		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:20		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:20		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:21		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:21		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:21		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:21		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-04-17/15:47:24		 wafer_20022020_090716.csv: File loaded successfully!!
